医療機関略称,所在地,電話番号
アイ往診クリニック,仙台市青葉区上杉３丁目２－２８　アクス上杉ビル２０１,022-722-2658
相田内科医院,仙台市青葉区荒巻本沢３丁目１６−５,022-278-9170
青葉通一番町内科クリニック,仙台市青葉区一番町２丁目４－１９　シリウス・一番町３階,022-302-7025
あおば通りかずみクリニック,仙台市青葉区大町１丁目１－５　グレイス大町３Ｆ,022-724-7294
青葉通けやきクリニック,仙台市青葉区大町１丁目１−８　第３青葉ビル４階,022-263-0280
あおば脳神経外科,仙台市青葉区中央２丁目１１−１９　仙南ビル,022-215-8818
あかかぶクリニック,仙台市青葉区中央２丁目６－１９　豊栄堂ビル５階,022-224-6788
あかねクリニック,仙台市青葉区北目町３−９　一番町南診療所Building3F,022-797-3070
あきもとクリニック,仙台市青葉区栗生７丁目１０−７,022-392-3371
旭ヶ丘ハート内科,仙台市青葉区旭ヶ丘４丁目１－１,022-341-8180
阿部内視鏡内科,仙台市青葉区川内川前丁５,022-223-5645
あやし小児科医院,仙台市青葉区愛子中央６丁目２−１７,022-392-1881
あやし腎・泌尿器クリニック,仙台市青葉区下愛子観音堂２６－１,022-797-8135
荒巻なべ胃腸科内科クリニック,仙台市青葉区荒巻本沢３丁目１−７,022-719-6071
粟野内科医院,仙台市青葉区立町２５−１３,022-265-2050
池田クリニック,仙台市青葉区旭ヶ丘２丁目１５−１５,022-233-5502
市川内科,仙台市青葉区一番町３丁目７−１　電力ビル２Ｆ,022-262-5755
一財）周行会上杉クリニック,仙台市青葉区上杉２丁目３−３　ノースフォー１階・２階,022-221-5668
一番町健診クリニック,仙台市青葉区一番町４丁目９−１８　ＴＩＣビル４・５階,022-217-6678
一番町南診療所仙台心臓血圧総合クリニック,仙台市青葉区北目町３−９　一番町南診療所Building2F,022-393-5615
一番町メンタルクリニック,仙台市青葉区一番町２丁目４－１９　３Ｆ,022-221-2277
胃腸科内科　北川医院,仙台市青葉区中央３丁目８−２０,022-223-2652
いつつばしクリニック,仙台市青葉区五橋１丁目１−５８　９０９,022-797-8625
医の森クリニック仙台,仙台市青葉区中央１丁目１－１　エスパル仙台東館　４Ｆ,022-352-3786
今井小児科,仙台市青葉区八幡３丁目３−１０,022-267-6051
イムス仙台クリニック,仙台市青葉区一番町２丁目４−１　読売仙台一番町ビル４F,022-262-9331
イムス明理会仙台総合病院,仙台市青葉区中央４丁目５−１,022-268-3150
医療法人　かんとうクリニック,仙台市青葉区本町２丁目１７−２３,022-397-7762
医療法人　会川クリニック,仙台市青葉区北山１丁目４−１２,022-234-5927
岩崎医院,仙台市青葉区愛子中央６丁目７−２３,022-392-3161
医）交鐘会　あおぞら在宅診療所　仙台中央,仙台市青葉区堤通雨宮町８－１　ＷＩＮＧ９９・２０２号,022-343-7611
内山内科医院,仙台市青葉区広瀬町４−１,022-225-4568
漆山医院,仙台市青葉区木町通１丁目４−２０,022-225-0255
江川クリニック,仙台市青葉区旭ヶ丘４丁目３５−２７,022-274-1205
